,parent,node,branch.length,label,vesicle.x,nt.x,region.x,vesicle.y,nt.y,region.y,vesicle,nt,region,label.order
323,539,323,0.810529875330226,GP_2-14,dien,gad,gp,dien,gad,gp,dien,gad,gp,53
324,454,324,2.89575202240905,SN_3-17,bs,gad,bs,bs,gad,bs,bs,gad,bs,57
325,325,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,325,326,82.3694651018828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,325,327,70.3874212647341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,327,328,42.6872152477787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,327,329,32.2578408085667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,326,330,43.0488729547996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,326,331,21.4625651261085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,329,332,20.1087356291535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,329,333,15.6566364453743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,331,334,46.350922790105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,331,335,10.9645418563529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,328,336,19.253951868011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,328,337,14.9128638634185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,333,338,35.4423153800644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,333,339,13.7026995629306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,332,340,20.2452946050118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,332,341,12.5466216355465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,330,342,18.0982989733549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,330,343,2.17103679462452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,343,344,18.098084534445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,343,345,11.5342017006171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,337,346,19.5064239679044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,337,347,12.9257182488761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
